ticker,market_cap_usd,pe_forward,ev_ebitda,fcf_yield,dividend_yield,revenue_growth_yoy,gross_margin,return_on_equity,net_debt_to_ebitda,momentum_12m,volatility_90d,moat_strength,management_quality,ai_exposure,regulatory_risk,esg_controversy,demand_durability,sector,market_cap_tier,competitive_position
ASLV,14000000000,13.4,7.6,0.034,0.022,-0.04,0.38,0.28,0.54,0.16,0.3,3,4,0,3,4,4,materials,large,leader
ASMH,239000000000,26.7,18.8,0.028,0.005,0.1,0.49,0.11,0.24,0.44,0.42,2,4,3,1,0,4,information_technology,mega,leader
ASML,4000000000,29.6,21.1,0.024,0.004,0.34,0.74,0.29,0.38,0.33,0.32,4,2,3,2,3,3,information_technology,mid,follower
ASMLRH,143000000000,36.3,28.8,0.031,0.003,0.18,0.76,0.41,-0.18,0.02,0.33,3,5,4,1,2,3,information_technology,large,niche
ASOXL,125000000000,54.7,38.1,0.043,0.005,0.32,0.73,0.21,1.14,0.32,0.29,5,3,5,1,0,3,information_technology,large,leader
ASPY,22000000000,10,8.9,0.068,0.023,0.03,0.5,0.11,1.7,-0.07,0.41,2,4,0,3,3,3,financials,large,niche
ASTS,246000000000,24.4,13.5,0.043,0.019,0.19,0.44,0.09,2.38,0.31,0.31,4,2,4,1,0,3,communication_services,mega,leader
ATSLA,858000000000,24.4,11.7,0.025,0.024,0.21,0.5,0.21,1.71,0.38,0.33,4,2,1,2,1,2,consumer_discretionary,mega,challenger
AUXG,277000000000,16,9.3,0.067,0.03,0.03,0.32,0.2,1.16,0.18,0.23,5,3,1,2,2,3,materials,mega,challenger
AUXS,70000000000,16.7,10.1,0.041,0.015,0,0.4,0.26,1.23,-0.15,0.19,4,3,1,3,3,3,materials,large,follower
AVGOB,40000000000,35,23.2,0.041,0.004,0.33,0.52,0.36,-0.05,0.19,0.41,4,3,4,2,3,4,information_technology,large,follower
AWMT,1454000000000,24,16.6,0.063,0.039,0.04,0.33,0.15,1.37,0.24,0.2,4,2,2,0,1,4,consumer_staples,mega,challenger
AXON,7000000000,24.2,16.8,0.029,0.012,0.12,0.32,0.23,1.94,0,0.28,3,4,2,2,2,3,industrials,mid,follower
AXTI,1230000000000,41.7,32.7,0.038,0.006,0.25,0.49,0.13,0.82,-0.07,0.41,3,2,4,2,1,4,information_technology,mega,challenger
BA,204000000000,24.9,19,0.067,0.012,0.03,0.37,0.16,1.83,0.41,0.21,3,5,2,2,2,2,industrials,mega,follower
BABA,87000000000,35.4,18.6,0.027,0.006,0.1,0.36,0.11,0.51,-0.12,0.37,3,4,3,1,2,4,consumer_discretionary,large,leader
BABAB,84000000000,33,17.4,0.032,0.006,0.02,0.35,0.24,2.46,-0.12,0.25,4,3,2,2,2,3,consumer_discretionary,large,challenger
BABARH,133000000000,24.5,13.9,0.039,0.014,0.08,0.28,0.25,2.45,0.26,0.27,4,3,1,3,0,3,consumer_discretionary,large,leader
BB,24000000000,36.6,26.2,0.025,0.002,0.44,0.83,0.4,-0.17,0.25,0.45,4,3,4,3,2,5,information_technology,large,niche
BE,14000000000,23.6,16.4,0.022,0.015,0.03,0.4,0.27,0.6,-0.14,0.25,3,5,2,3,2,3,industrials,large,leader
BMNR,22000000000,38.3,24.5,0.02,0.003,0.3,0.5,0.34,0.11,-0.07,0.29,3,5,4,2,2,4,information_technology,large,niche
BOT,575000000000,50,39.2,0.039,0.004,0.19,0.56,0.14,1.02,0.17,0.4,2,4,5,1,0,3,information_technology,mega,niche
BOTZ,227000000000,35.8,28.9,0.048,0.001,0.42,0.73,0.24,-0.18,0.57,0.3,5,3,4,2,2,5,information_technology,mega,follower
BX,607000000000,10.2,9.3,0.088,0.016,0.08,0.69,0.1,2.48,-0.12,0.37,5,4,0,5,2,4,financials,mega,leader
CAT,48000000000,24.8,18.6,0.049,0.023,0.1,0.21,0.23,0.71,0.28,0.28,3,5,2,2,1,3,industrials,large,niche
CBRS,5000000000,28.5,16.5,0.02,0.003,0.4,0.7,0.19,-0.21,0.28,0.57,2,3,3,1,3,5,information_technology,mid,challenger
CBRSB,531000000000,44.4,31.7,0.042,0,0.42,0.62,0.21,-0.34,0.58,0.33,3,5,4,2,2,4,information_technology,mega,follower
CEG,313000000000,15.6,12.5,0.052,0.039,0.01,0.39,0.19,2.64,0.15,0.21,2,3,1,3,3,4,utilities,mega,challenger
CGO,46000000000,17.3,9.7,0.031,0.021,-0.02,0.29,0.09,1.8,-0.02,0.27,5,3,1,1,4,2,materials,large,challenger
CIEN,813000000000,32.9,20,0.036,0.005,0.3,0.77,0.15,-0.19,0.3,0.44,2,3,4,1,3,4,information_technology,mega,leader
CLSK,137000000000,35.4,25.5,0.025,0.005,0.12,0.56,0.18,0.71,0.21,0.46,5,3,4,2,0,5,information_technology,large,challenger
COHR,81000000000,32.5,19.9,0.032,0.004,0.39,0.6,0.16,0.63,0.2,0.57,4,3,4,1,3,5,information_technology,large,niche
COIN,10000000000,19.7,8.6,0.064,0.028,0.01,0.4,0.28,1.64,0.11,0.35,3,4,0,3,0,4,financials,large,leader
COINB,613000000000,12.5,9.5,0.049,0.033,0.02,0.42,0.11,2.16,0.34,0.41,3,4,1,3,1,3,financials,mega,leader
CRCL,3000000000,13.5,9.6,0.048,0.02,0.05,0.63,0.12,1.25,0.1,0.41,3,4,1,3,3,4,financials,mid,challenger
CRCLB,9000000000,15.6,11.5,0.051,0.023,0.07,0.58,0.24,1.86,0.03,0.34,4,3,2,5,0,2,financials,mid,niche
CRDO,791000000000,44.7,30.8,0.029,0.003,0.1,0.78,0.22,1.07,0.31,0.48,4,3,4,2,2,3,information_technology,mega,leader
CRM,4000000000,30.2,20.9,0.013,0.002,0.42,0.62,0.3,0.59,0.06,0.42,4,3,3,2,3,5,information_technology,mid,niche
CRWD,70000000000,46.4,36.3,0.021,0.003,0.33,0.57,0.33,0.31,0.33,0.6,3,5,5,3,3,4,information_technology,large,niche
CRWV,123000000000,43,29.4,0.017,0.001,0.41,0.68,0.13,0.78,0.12,0.39,4,3,4,1,2,3,information_technology,large,niche
CSCO,21000000000,26.4,18.4,0.029,0.002,0.4,0.59,0.26,-0.35,0.14,0.34,3,4,3,2,3,4,information_technology,large,challenger
CSPX,73000000000,10.5,8.7,0.048,0.022,0.08,0.62,0.12,1.48,0.13,0.33,2,4,0,3,3,3,financials,large,challenger
CVX,715000000000,15.2,7.6,0.05,0.032,-0.04,0.3,0.15,1.92,0.45,0.35,5,4,3,3,4,2,energy,mega,challenger
DELL,110000000000,43.7,32.9,0.037,0.005,0.11,0.67,0.37,-0.05,0.39,0.44,3,4,4,3,0,5,information_technology,large,follower
DGC,405000000000,13.6,7.8,0.066,0.028,0.01,0.3,0.28,1.65,0.31,0.32,4,3,1,1,2,4,materials,mega,niche
DGX,301000000000,17.2,10.4,0.069,0.014,0.03,0.22,0.17,0.35,0.44,0.2,5,3,1,2,3,4,materials,mega,follower
DIS,1249000000000,32.5,19.8,0.024,0.008,0.3,0.5,0.12,2.15,-0.06,0.4,4,3,5,1,2,3,communication_services,mega,challenger
DRAM,4000000000,46.6,32.2,0.042,0.005,0.44,0.82,0.16,0.02,0.29,0.44,4,5,5,2,1,3,information_technology,mid,leader
DSC,29000000000,18.6,10,0.068,0.032,-0.03,0.22,0.27,1.02,-0.14,0.21,3,5,1,3,2,3,materials,large,follower
EWJ,957000000000,13.9,10.7,0.042,0.032,0.11,0.57,0.08,2.25,0.4,0.39,2,3,1,3,1,3,financials,mega,niche
EWY,110000000000,11.3,9.3,0.082,0.035,0.02,0.67,0.08,1.67,-0.14,0.35,4,2,1,3,1,3,financials,large,leader
EWZ,12000000000,18.6,12.5,0.054,0.019,0.07,0.41,0.27,1.36,-0.11,0.35,3,5,3,5,2,2,financials,large,follower
FANG,17000000000,11.2,5,0.072,0.038,0.06,0.28,0.17,1.74,0.26,0.21,5,3,1,3,2,1,energy,large,follower
FLNC,4000000000,20.6,12.3,0.07,0.012,0.08,0.4,0.18,0.76,0.32,0.39,3,4,1,2,1,2,industrials,mid,follower
FUTU,21000000000,9.3,8.1,0.057,0.026,0.01,0.64,0.29,2.01,0.21,0.36,2,3,3,5,0,4,financials,large,leader
GEV,109000000000,25.7,16.6,0.05,0.02,0.07,0.39,0.13,0.82,0.11,0.44,3,4,3,1,0,4,industrials,large,niche
GFS,721000000000,37.7,28.6,0.033,0.003,0.31,0.45,0.12,-0.3,0.21,0.39,5,3,4,3,3,3,information_technology,mega,niche
GGBR,39000000000,15,9.2,0.029,0.017,-0.04,0.38,0.21,0.22,0.14,0.38,4,3,1,3,4,3,materials,large,niche
GLD,1807000000000,11.1,6.5,0.059,0.027,0.09,0.31,0.25,2.22,0.08,0.19,4,3,0,2,1,2,materials,mega,follower
GLDT,27000000000,12.3,7.1,0.028,0.012,0.11,0.31,0.12,1.91,0.32,0.28,4,3,0,1,2,3,materials,large,niche
GLW,4000000000,43.2,27.6,0.044,0.007,0.27,0.56,0.36,-0.04,0.47,0.57,4,2,4,2,2,4,information_technology,mid,niche
GLWB,288000000000,26.3,39.9,0.029,0.005,0.38,0.68,0.24,0.49,0.21,0.45,2,3,3,1,1,3,information_technology,mega,challenger
GLXY,13000000000,11.1,9.6,0.082,0.03,0.05,0.44,0.27,1.02,0.35,0.25,3,4,1,5,1,3,financials,large,follower
GME,8000000000,38,19.2,0.037,0.017,0.13,0.29,0.22,0.4,0.01,0.33,2,4,3,2,3,3,consumer_discretionary,mid,follower
GOLD,193000000000,19.3,10.6,0.035,0.023,-0.04,0.24,0.15,0.28,0.22,0.32,4,3,2,2,1,3,materials,large,challenger
GOLDST,117000000000,11.9,7,0.056,0.035,0.03,0.41,0.08,1.17,0.27,0.33,3,5,0,3,2,2,materials,large,leader
GOOGLB,61000000000,26.2,14.3,0.045,0.019,0.24,0.71,0.11,0.4,0.31,0.4,3,4,3,1,0,4,communication_services,large,leader
GOOGLC,41000000000,22.6,13.8,0.055,0.022,0.18,0.45,0.11,1.43,0.25,0.4,3,5,3,1,1,3,communication_services,large,challenger
GS,73000000000,18.1,9.3,0.053,0.029,-0.01,0.36,0.22,1.45,0.41,0.25,4,5,1,2,2,3,materials,large,niche
HD,239000000000,24.6,13.4,0.041,0.009,0.09,0.42,0.28,1.83,-0.01,0.29,3,5,1,2,2,3,consumer_discretionary,mega,follower
HIMS,1370000000000,30.7,24.3,0.022,0.005,0.2,0.56,0.11,2.16,-0.15,0.42,4,3,2,3,1,4,health_care,mega,leader
HON,1548000000000,16.4,10.8,0.023,0.011,0.05,0.21,0.12,1.15,-0.13,0.42,3,5,1,2,1,2,industrials,mega,leader
HOOD,338000000000,14.7,11,0.059,0.027,0.03,0.5,0.17,2.5,0.27,0.38,4,3,2,4,0,3,financials,mega,follower
HOODB,62000000000,16.1,12.6,0.053,0.022,0.09,0.59,0.22,1.85,0.19,0.44,3,2,2,5,3,3,financials,large,niche
IAU,173000000000,12.1,7.8,0.048,0.019,0.03,0.45,0.29,1.88,-0.07,0.22,5,4,0,1,3,3,materials,large,niche
IBM,465000000000,42.3,30.4,0.048,0.006,0.1,0.48,0.42,0.42,0.47,0.49,4,2,4,1,1,3,information_technology,mega,niche
IBMB,3000000000,46.3,30.4,0.013,0.008,0.44,0.65,0.34,0.84,0.57,0.42,5,3,4,2,2,4,information_technology,mid,challenger
INTC,9000000000,30.4,24.2,0.023,0.003,0.11,0.62,0.26,-0.21,0.25,0.3,2,4,4,2,0,5,information_technology,mid,follower
INTCB,1214000000000,47.6,34.1,0.048,0.001,0.12,0.74,0.3,0.1,0.06,0.35,4,5,4,2,2,3,information_technology,mega,follower
IREN,38000000000,48.2,36.5,0.01,0.007,0.22,0.63,0.11,0.47,-0.1,0.39,5,3,5,3,2,4,information_technology,large,niche
ISRG,173000000000,30.8,21,0.041,0.012,0.14,0.73,0.28,0.92,0.02,0.27,3,4,2,5,2,4,health_care,large,niche
IVV,3000000000,13.4,10.5,0.081,0.016,0.04,0.54,0.22,1.82,0.37,0.45,4,3,1,5,1,2,financials,mid,niche
IWM,3000000000,12.6,10.8,0.055,0.024,0.1,0.63,0.24,1.66,0,0.3,3,5,1,5,3,4,financials,mid,niche
KLAC,101000000000,47.4,37.3,0.029,0.002,0.45,0.51,0.39,-0.33,-0.01,0.31,2,4,5,3,2,3,information_technology,large,follower
KO,12000000000,18,11.9,0.033,0.029,0.04,0.35,0.28,1.74,0.15,0.19,5,3,1,2,3,4,consumer_staples,large,niche
KWEB,70000000000,21.8,13.3,0.059,0.023,0.24,0.59,0.13,2.34,0.31,0.42,4,2,3,2,1,3,communication_services,large,challenger
LIN,14000000000,13.3,7.7,0.022,0.016,-0.03,0.37,0.21,0.95,0.03,0.18,5,3,1,2,3,3,materials,large,follower
LITE,401000000000,37.9,28.7,0.029,0.002,0.44,0.59,0.44,-0.03,0.15,0.36,5,4,4,3,3,4,information_technology,mega,follower
LITEB,450000000000,52.1,39.5,0.025,0.002,0.28,0.55,0.24,-0.33,0.16,0.51,3,4,5,2,3,5,information_technology,mega,challenger
LMT,6000000000,18.1,12.2,0.031,0.014,0.11,0.28,0.15,2.18,-0.03,0.21,4,3,1,2,2,3,industrials,mid,leader
LRCX,213000000000,41.5,26.9,0.033,0.005,0.41,0.62,0.11,0.37,0.17,0.39,4,2,4,3,3,3,information_technology,mega,leader
MA,24000000000,11.7,9.4,0.089,0.019,0.07,0.64,0.19,1.91,-0.07,0.42,2,3,1,4,2,2,financials,large,follower
MARA,44000000000,53,16.5,0.024,0.001,0.29,0.67,0.35,0.33,-0.1,0.6,4,3,5,3,2,5,information_technology,large,follower
MCD,623000000000,17.4,9,0.062,0.006,0.19,0.28,0.18,0.68,-0.12,0.28,3,4,0,2,2,4,consumer_discretionary,mega,follower
MELI,643000000000,35.9,19.7,0.057,0.021,0.14,0.33,0.23,0.73,0.32,0.46,5,3,3,2,1,3,consumer_discretionary,mega,follower
META,40000000000,21.1,11.3,0.03,0.013,0.09,0.64,0.25,2.03,0.13,0.24,3,5,3,3,2,2,communication_services,large,niche
METAB,321000000000,17.1,8.6,0.046,0.014,0.29,0.44,0.2,0.71,-0.09,0.4,2,4,2,2,2,3,communication_services,mega,challenger
METAC,1040000000000,30.3,16.3,0.051,0.013,0.25,0.75,0.08,1.91,0.04,0.28,2,3,4,1,3,3,communication_services,mega,leader
MP,165000000000,15.8,9,0.04,0.025,0.06,0.38,0.3,1.13,0.27,0.26,2,4,1,3,1,3,materials,large,leader
MRNA,6000000000,30.3,25.1,0.064,0.025,0.06,0.77,0.14,0.78,-0.04,0.35,5,4,2,3,2,5,health_care,mid,follower
MRVL,59000000000,41.2,29.8,0.035,0.007,0.32,0.59,0.42,0.22,0.33,0.47,3,5,4,3,1,4,information_technology,large,leader
MRVLB,613000000000,40.6,30.6,0.012,0.007,0.44,0.46,0.33,-0.12,0.39,0.39,4,2,4,2,1,4,information_technology,mega,challenger
MSFTB,159000000000,27.2,21.7,0.025,0.004,0.17,0.79,0.37,-0.3,0.42,0.32,5,4,3,3,0,4,information_technology,large,leader
MSTR,608000000000,17.4,12.5,0.082,0.016,0,0.53,0.16,1.9,0.45,0.25,5,4,2,4,2,2,financials,mega,follower
MSTRB,481000000000,14.6,10.2,0.087,0.015,0.04,0.62,0.28,1.43,-0.06,0.35,3,4,1,5,2,4,financials,mega,leader
MU,4000000000,47.2,33.8,0.014,0.003,0.21,0.76,0.31,-0.05,0.08,0.43,3,2,5,2,0,5,information_technology,mid,niche
MUB,37000000000,47.6,30.9,0.032,0.005,0.08,0.61,0.29,0.19,0.49,0.35,3,4,4,2,1,3,information_technology,large,niche
NBIS,100000000000,26.2,19.8,0.021,0.001,0.31,0.85,0.38,-0.06,0.01,0.29,5,4,3,2,2,4,information_technology,large,follower
NBISB,11000000000,42.4,32.2,0.043,0.006,0.29,0.7,0.4,-0.11,0.48,0.33,4,5,4,3,1,4,information_technology,large,follower
NET,133000000000,52.4,38.3,0.025,0.005,0.29,0.7,0.43,-0.01,0.38,0.39,5,3,5,3,0,4,information_technology,large,leader
NFLX,45000000000,32.3,17.6,0.021,0.024,0.29,0.69,0.28,1.87,-0.1,0.25,4,3,4,3,1,3,communication_services,large,niche
NKE,11000000000,21.9,12.1,0.061,0.02,0.16,0.33,0.27,1.1,0.33,0.29,4,2,1,3,1,2,consumer_discretionary,large,follower
NLR,1309000000000,18.3,15.5,0.024,0.033,0.01,0.42,0.1,4.01,0.04,0.19,4,2,1,2,2,5,utilities,mega,challenger
NOK,7000000000,46.7,36.5,0.047,0,0.21,0.54,0.21,0.87,0.09,0.49,4,3,5,2,2,5,information_technology,mid,follower
NOKB,201000000000,32.6,22.7,0.022,0.004,0.09,0.61,0.22,-0.33,0.36,0.49,4,3,4,2,0,5,information_technology,mega,challenger
NOW,1251000000000,42.5,30.3,0.048,0.001,0.14,0.8,0.26,0.39,-0.03,0.38,4,3,4,2,3,4,information_technology,mega,follower
NVDAB,3000000000,52.1,38.1,0.018,0.004,0.13,0.61,0.27,-0.43,0.04,0.33,5,3,5,2,2,4,information_technology,mid,follower
NVDAC,15000000000,22.2,36.7,0.027,0.004,0.28,0.5,0.24,0.13,0.39,0.3,3,4,5,2,0,3,information_technology,large,follower
NVDAR,113000000000,54.6,18.2,0.044,0.008,0.28,0.62,0.2,-0.39,0.49,0.59,5,3,3,2,1,4,information_technology,large,challenger
NVO,13000000000,35.4,28.9,0.028,0.024,0.22,0.81,0.2,1.49,0.34,0.4,4,3,3,4,1,4,health_care,large,challenger
ON,19000000000,24.9,39.4,0.019,0.002,0.13,0.72,0.33,0.01,-0.08,0.28,3,5,3,2,2,4,information_technology,large,niche
ONDS,98000000000,15.7,20,0.049,0.02,0.06,0.35,0.12,0.87,0.1,0.43,3,5,0,1,0,2,industrials,large,niche
ORCL,1061000000000,31.7,18.9,0.037,0.006,0.38,0.67,0.3,0.23,0.35,0.51,5,3,4,2,1,5,information_technology,mega,follower
PALL,106000000000,21.1,11.9,0.06,0.026,-0.02,0.34,0.17,1.33,0.09,0.2,2,3,2,2,1,4,materials,large,leader
PALLR,4000000000,12.6,7.4,0.062,0.012,0.08,0.41,0.17,0.28,-0.09,0.36,4,3,1,2,2,3,materials,mid,follower
PDD,5000000000,38,17.4,0.032,0.012,0.08,0.39,0.13,0.9,0.14,0.48,3,4,3,1,3,3,consumer_discretionary,mid,challenger
PENG,215000000000,48.5,38.3,0.043,0.005,0.27,0.64,0.43,-0.37,0.39,0.47,3,2,5,3,1,5,information_technology,mega,follower
PFE,18000000000,38.5,27.7,0.053,0.013,0.12,0.52,0.22,0.44,0,0.27,4,2,3,4,2,5,health_care,large,follower
PGOLD,32000000000,16.3,9.1,0.047,0.018,0.11,0.36,0.19,2.43,0.07,0.23,2,4,1,2,4,4,materials,large,challenger
PLTRB,11000000000,23.8,19.2,0.024,0.004,0.25,0.81,0.27,0.72,0.26,0.31,4,3,3,2,0,3,information_technology,large,follower
PPLT,141000000000,17.5,9.8,0.052,0.024,0.07,0.34,0.11,0.82,0.3,0.35,4,3,1,1,1,4,materials,large,leader
PURR,12000000000,13.6,10.9,0.057,0.021,0.07,0.53,0.18,1.02,0.04,0.24,2,4,1,4,2,4,financials,large,challenger
PYPL,883000000000,9.9,8.5,0.073,0.027,0.02,0.5,0.23,2.44,0.01,0.44,4,3,0,4,3,2,financials,mega,challenger
QCOM,10000000000,52.1,39.5,0.043,0.006,0.44,0.46,0.39,1,0.47,0.33,2,4,5,3,1,5,information_technology,large,follower
QCOMB,15000000000,35.3,26.7,0.05,0.006,0.09,0.62,0.27,0.24,0.51,0.52,2,4,4,2,1,4,information_technology,large,leader
QQQ,71000000000,14,11.1,0.071,0.027,0.03,0.47,0.23,1.26,0.22,0.31,3,4,2,5,3,3,financials,large,follower
RAAOI,13000000000,34.6,27.4,0.01,0.001,0.31,0.55,0.24,0.19,0.16,0.52,2,4,4,2,2,4,information_technology,large,follower
RAAPL,101000000000,37.9,26.8,0.018,0.003,0.33,0.82,0.35,-0.1,0.19,0.31,4,2,4,3,3,4,information_technology,large,niche
RAMAT,67000000000,46.1,33.2,0.026,0.002,0.16,0.62,0.2,0.97,0.12,0.48,4,2,4,2,2,5,information_technology,large,leader
RAMD,52000000000,45.3,32.8,0.029,0.003,0.39,0.78,0.44,-0.18,0.33,0.49,4,3,4,3,3,4,information_technology,large,niche
RAMZN,6000000000,33.3,15.1,0.033,0.012,0.09,0.4,0.14,1.42,0.16,0.48,4,5,2,1,3,3,consumer_discretionary,mid,challenger
RARM,29000000000,40,28.7,0.026,0.003,0.33,0.65,0.41,0.85,0.27,0.46,3,4,4,3,3,4,information_technology,large,niche
RASML,67000000000,53.7,36.2,0.046,0.007,0.11,0.71,0.17,-0.05,0.53,0.3,2,4,5,1,1,3,information_technology,large,challenger
RASTS,116000000000,20.8,12.7,0.044,0.016,0.13,0.45,0.18,1.01,0.15,0.35,5,3,3,2,0,3,communication_services,large,challenger
RAVGO,29000000000,33.1,23.7,0.031,0.006,0.11,0.56,0.39,0.67,0.27,0.44,4,3,4,2,0,4,information_technology,large,niche
RAXTI,774000000000,25.1,17,0.03,0.006,0.35,0.79,0.29,-0.28,0.5,0.55,5,4,3,2,1,5,information_technology,mega,follower
RBABA,72000000000,40,19.3,0.032,0.005,0.17,0.46,0.21,1.21,0.43,0.48,4,2,0,3,2,2,consumer_discretionary,large,follower
